date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:19	80090/80090	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2007:47:19%20GMT	https://demo.ayroui.com/templates/business-template/	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/index.html	(from )
14:47:19	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2007:47:19%20GMT	https://demo.ayroui.com/robots.txt		(from )
14:47:19	408/408	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f4dfff3292511b44e45cee9b14ad67f4%22	https://demo.ayroui.com/templates/business-template/assets/images/favicon.svg	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/assets/images/favicon.svg	(from https://demo.ayroui.com/templates/business-template/)
14:47:19	193675/193675	---MCZ	200	added ('OK')	text/css	etag:W/%22d23970a8cc1094d0ca8299ed58f711f0%22	https://demo.ayroui.com/templates/business-template/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/assets/css/bootstrap.min.css	(from https://demo.ayroui.com/templates/business-template/)
14:47:19	26995/26995	---MCZ	200	added ('OK')	text/css	etag:W/%22a5efc43acad77f883e671ca24547d8bd%22	https://demo.ayroui.com/templates/business-template/assets/css/lineicons.css	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/assets/css/lineicons.css	(from https://demo.ayroui.com/templates/business-template/)
14:47:20	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%22019b95ce18333f06d8a696cd2bf7d24d%22	https://demo.ayroui.com/templates/business-template/assets/css/tiny-slider.css	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/assets/css/tiny-slider.css	(from https://demo.ayroui.com/templates/business-template/)
14:47:20	13884/13884	---MCZ	200	added ('OK')	text/css	etag:W/%2208819ade9bed7691e590b610be106628%22	https://demo.ayroui.com/templates/business-template/assets/css/glightbox.min.css	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/assets/css/glightbox.min.css	(from https://demo.ayroui.com/templates/business-template/)
14:47:20	57996/57996	---MCZ	200	added ('OK')	text/css	etag:W/%224a9904d8c46fbed31da6e7839490fc4e%22	https://demo.ayroui.com/templates/business-template/style.css	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/style.css	(from https://demo.ayroui.com/templates/business-template/)
14:47:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2015%20Nov%202024%2007:47:21%20GMT	https://demo.ayroui.com/templates/business-template/index.html	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/index-2.html	(from https://demo.ayroui.com/templates/business-template/)
14:47:21	4353/4353	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bd65808cc373606631c8fffcfae13af3%22	https://demo.ayroui.com/templates/business-template/assets/images/white-logo.svg	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/assets/images/white-logo.svg	(from https://demo.ayroui.com/templates/business-template/)
14:47:21	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2015%20Nov%202024%2007:47:21%20GMT	https://demo.ayroui.com/templates/business-template/index.html	C:/My%20Web%20Sites/Demo/demo.ayroui.com/templates/business-template/index-2.html	(from https://demo.ayroui.com/templates/business-template/)
